title,id,genres
브리짓 존스의 일기,31565,"[{'id': '1', 'name': '드라마'}, {'id': '5', 'name': '멜로/로맨스'}, {'id': '11', 'name': '코미디'}]"
비거 스플래쉬,129045,"[{'id': '5', 'name': '멜로/로맨스'}]"
사돈의 팔촌,143358,"[{'id': '1', 'name': '드라마'}, {'id': '5', 'name': '멜로/로맨스'}]"
사랑과 영혼,10173,"[{'id': '5', 'name': '멜로/로맨스'}, {'id': '1', 'name': '드라마'}]"
산티아고의 흰 지팡이,188030,"[{'id': '10', 'name': '다큐멘터리'}]"
삽질,185134,"[{'id': '10', 'name': '다큐멘터리'}]"
소셜노마드,194344,"[{'id': '10', 'name': '다큐멘터리'}]"
소원,103535,"[{'id': '1', 'name': '드라마'}]"
아멜리에,32588,"[{'id': '11', 'name': '코미디'}, {'id': '2', 'name': '판타지'}, {'id': '5', 'name': '멜로/로맨스'}]"
야구소녀,189633,"[{'id': '1', 'name': '드라마'}]"
온워드: 단 하루의 기적,187351,"[{'id': '2', 'name': '판타지'}, {'id': '6', 'name': '모험'}]"
욕창,185151,"[{'id': '1', 'name': '드라마'}]"
우리집 똥멍청이,194765,"[{'id': '11', 'name': '코미디'}, {'id': '1', 'name': '드라마'}]"
유스,139438,"[{'id': '1', 'name': '드라마'}]"
인비저블 라이프,185292,"[{'id': '1', 'name': '드라마'}]"
제리 맥과이어,17942,"[{'id': '1', 'name': '드라마'}, {'id': '5', 'name': '멜로/로맨스'}]"
킬러맨,171518,"[{'id': '19', 'name': '액션'}, {'id': '16', 'name': '범죄'}, {'id': '1', 'name': '드라마'}, {'id': '13', 'name': '미스터리'}, {'id': '7', 'name': '스릴러'}]"
트로이,37742,"[{'id': '19', 'name': '액션'}, {'id': '1', 'name': '드라마'}, {'id': '14', 'name': '전쟁'}, {'id': '6', 'name': '모험'}]"
파밍 보이즈,154964,"[{'id': '10', 'name': '다큐멘터리'}]"
팡파레,186235,"[{'id': '1', 'name': '드라마'}, {'id': '7', 'name': '스릴러'}, {'id': '16', 'name': '범죄'}]"
패왕별희 디 오리지널,14448,"[{'id': '1', 'name': '드라마'}]"
피아노,13314,"[{'id': '1', 'name': '드라마'}, {'id': '5', 'name': '멜로/로맨스'}]"
하트,189123,"[{'id': '1', 'name': '드라마'}, {'id': '5', 'name': '멜로/로맨스'}]"
고령가 소년 살인사건,10922,"[{'id': '1', 'name': '드라마'}]"
링,28465,"[{'id': '4', 'name': '공포'}, {'id': '1', 'name': '드라마'}, {'id': '7', 'name': '스릴러'}, {'id': '13', 'name': '미스터리'}]"
뮤지컬 홀리데이 인,166415,"[{'id': '29', 'name': '공연실황'}, {'id': '17', 'name': '뮤지컬'}]"
미스 사이공: 25주년 특별 공연,155123,"[{'id': '29', 'name': '공연실황'}]"
보희와 녹양,179397,"[{'id': '1', 'name': '드라마'}]"
소공녀,159311,"[{'id': '5', 'name': '멜로/로맨스'}, {'id': '1', 'name': '드라마'}]"
우리들,146504,"[{'id': '1', 'name': '드라마'}]"
착신아리,38147,"[{'id': '4', 'name': '공포'}, {'id': '7', 'name': '스릴러'}]"
타이페이 스토리,10676,"[{'id': '1', 'name': '드라마'}]"
톡식 어벤져,178404,"[{'id': '17', 'name': '뮤지컬'}, {'id': '29', 'name': '공연실황'}]"
하나 그리고 둘,15006,"[{'id': '1', 'name': '드라마'}]"
